"peiid","featkind","featdept","featdepb"
"542093","ochric epipedon",0,8
"542093","argillic horizon",8,56
"542093","paralithic contact",56,200
"542095","ochric epipedon",0,9
"542095","argillic horizon",9,90
"542095","paralithic contact",90,NA
"542120","mollic epipedon",0,29
"542120","cambic horizon",29,42
"542120","paralithic contact",87,NA
"542121","ochric epipedon",0,14
"542121","argillic horizon",14,60
"542121","paralithic contact",60,72
"542121","lithic contact",72,200
"542125","ochric epipedon",0,11
"542125","argillic horizon",11,78
"542125","paralithic contact",78,93
"542129","ochric epipedon",0,18
"542129","argillic horizon",32,148
"542129","paralithic contact",148,NA
"542130","ochric epipedon",1,13
"542130","argillic horizon",13,54
"542130","lithic contact",70,75
"542131","ochric epipedon",0,6
"542131","argillic horizon",6,72
"542131","paralithic contact",72,NA
"542153","ochric epipedon",0,5
"542153","argillic horizon",5,62
"542153","paralithic contact",62,NA
"542154","ochric epipedon",0,8
"542154","argillic horizon",8,73
"542154","paralithic contact",73,NA
"620521","ochric epipedon",0,2
"620521","argillic horizon",2,68
"620521","paralithic contact",68,85
"620522","ochric epipedon",0,3
"620522","argillic horizon",3,80
"620522","lithic contact",80,200
"620523","ochric epipedon",0,15
"620523","argillic horizon",15,57
"620523","lithic contact",57,200
"625813","ochric epipedon",0,14
"625813","argillic horizon",14,91
"625813","paralithic contact",91,101
"625815","ochric epipedon",0,15
"625815","cambic horizon",15,32
"625815","argillic horizon",32,86
"625815","paralithic contact",86,96
"625821","ochric epipedon",0,13
"625821","argillic horizon",13,72
"625821","paralithic contact",72,82
"625857","ochric epipedon",0,7
"625857","cambic horizon",7,19
"625857","argillic horizon",19,75
"640603","ochric epipedon",0,9
"640603","argillic horizon",9,82
"640603","paralithic contact",82,NA
"640607","ochric epipedon",3,6
"640607","argillic horizon",6,54
"640607","paralithic contact",54,NA
"640610","ochric epipedon",0,5
"640610","argillic horizon",5,89
"640610","lithic contact",89,200
"640616","ochric epipedon",0,9
"640616","argillic horizon",9,75
"640616","paralithic contact",75,80
"640625","ochric epipedon",0,3
"640625","argillic horizon",3,52
"640625","paralithic contact",52,NA
"640629","ochric epipedon",0,18
"640629","cambic horizon",10,33
"640629","argillic horizon",33,71
"640629","paralithic contact",71,96
"640630","ochric epipedon",0,8
"640630","argillic horizon",8,61
"640630","paralithic contact",61,86
"640631","ochric epipedon",0,20
"640631","argillic horizon",20,66
"640631","paralithic contact",66,91
"640650","ochric epipedon",0,5
"640650","cambic horizon",5,84
"640650","lithic contact",84,200
"839192","ochric epipedon",0,5
"839192","argillic horizon",5,75
"839192","paralithic contact",75,100
"839203","ochric epipedon",0,8
"839203","argillic horizon",8,60
"839203","paralithic contact",60,85
"839203","lithic contact",85,200
"894094","ochric epipedon",0,4
"894094","argillic horizon",4,64
"894094","paralithic contact",80,NA
"894095","ochric epipedon",0,NA
"894095","cambic horizon",3,NA
"894095","argillic horizon",15,NA
"894095","paralithic contact",53,NA
"894118","ochric epipedon",0,5
"894118","argillic horizon",5,59
"894118","paralithic contact",59,NA
"894137","ochric epipedon",0,8
"894137","argillic horizon",8,75
"894137","paralithic materials",75,93
"894137","lithic contact",93,NA
"894144","ochric epipedon",0,2
"894144","argillic horizon",2,50
"894145","ochric epipedon",0,20
"894145","argillic horizon",20,60
"894145","lithic contact",60,NA
"894196","umbric epipedon",4,84
"894197","mollic epipedon",1,57
"894198","ochric epipedon",0,18
"894198","cambic horizon",15,53
"894198","lithologic discontinuity",53,NA
"894250","umbric epipedon",0,54
"930921","umbric epipedon",0,31
"930921","cambic horizon",31,94
"978605","umbric epipedon",3,60
"978605","paralithic contact",160,185
"978606","umbric epipedon",2,24
"978606","argillic horizon",24,60
"978606","paralithic contact",60,70
"978607","ochric epipedon",2,10
"978607","argillic horizon",28,65
"978607","paralithic contact",65,92
"978607","paralithic materials",65,92
"978609","umbric epipedon",5,95
"978609","paralithic contact",165,200
"978610","ochric epipedon",2,30
"978610","argillic horizon",30,90
