"phiid","peiid","pedon_id","hzname","dspcomplayerid","hzdept","hzdepb","bounddistinct","boundtopo","claytotest","silttotest","sandtotest","clay","silt","sand","fragvoltot","texture","texcl","lieutex","phfield","effclass","labsampnum","rupresblkdry","rupresblkmst","rupresblkcem","stickiness","plasticity","ksatpedon","texture_class","hzID","d_hue","d_value","d_chroma","dry_soil_color","d_r","d_g","d_b","d_sigma","m_hue","m_value","m_chroma","moist_soil_color","m_r","m_g","m_b","m_sigma","soil_color","fine_gravel","gravel","cobbles","stones","boulders","channers","flagstones","parafine_gravel","paragravel","paracobbles","parastones","paraboulders","parachanners","paraflagstones","unspecified","total_frags_pct_nopf","total_frags_pct","art_fgr","art_gr","art_cb","art_st","art_by","art_ch","art_fl","art_unspecified","total_art_pct","huartvol_cohesive","huartvol_penetrable","huartvol_innocuous","huartvol_persistent"
"2865800","620522","11DEB052","R","R",80,200,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","11114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865801","620523","11DEB087","A","A",0,5,"abrupt","smooth",16,NA,55,16,29,55,12,"SL","sl",NA,NA,NA,NA,"slightly hard","friable",NA,"nonsticky","slightly plastic",NA,"sl","11115","10YR",5,3,"#8E775AFF",0.556862745098039,0.466666666666667,0.352941176470588,NA,"10YR",3,3,"#58432CFF",0.345098039215686,0.262745098039216,0.172549019607843,NA,"#58432CFF",0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865802","620523","11DEB087","BA","A",5,15,"clear","smooth",16,NA,55,16,29,55,15,"GR-SL","sl",NA,NA,NA,NA,"very hard","firm",NA,"nonsticky","slightly plastic",NA,"sl","11116","10YR",5,4,"#93754FFF",0.576470588235294,0.458823529411765,0.309803921568627,NA,"10YR",3,4,"#5C4222FF",0.36078431372549,0.258823529411765,0.133333333333333,NA,"#5C4222FF",0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865803","620523","11DEB087","Bt1","Bt1",15,40,"clear","wavy",20,NA,45,20,35,45,36,"CBV-L","l",NA,NA,NA,NA,"moderately hard","friable",NA,"slightly sticky","moderately plastic",NA,"l","11117","10YR",5,4,"#93754FFF",0.576470588235294,0.458823529411765,0.309803921568627,NA,"10YR",3,4,"#5C4222FF",0.36078431372549,0.258823529411765,0.133333333333333,NA,"#5C4222FF",0,15,20,1,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865804","620523","11DEB087","Bt2","Bt2",40,57,"abrupt","wavy",20,NA,45,20,35,45,45,"CBV-L","l",NA,NA,NA,NA,"moderately hard","friable",NA,"slightly sticky","very plastic",NA,"l","11118","10YR",6,3,"#A99173FF",0.662745098039216,0.568627450980392,0.450980392156863,NA,"10YR",4,4,"#795B36FF",0.474509803921569,0.356862745098039,0.211764705882353,NA,"#795B36FF",0,15,25,5,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865805","620523","11DEB087","Rt","R",57,200,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","11119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888846","625813","11CKS020","Oi",NA,0,5,"clear","smooth",NA,NA,NA,NA,NA,NA,0,"SPM",NA,"spm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spm","11313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888847","625813","11CKS020","A",NA,5,14,"clear","smooth",14,NA,27,14,59,27,5,"SIL","sil",NA,5.90000009536743,"none",NA,"slightly hard","friable",NA,"nonsticky","nonplastic",NA,"sil","11314",NA,NA,NA,NA,NA,NA,NA,NA,"7.5YR",4,2,"#715D4EFF",0.443137254901961,0.364705882352941,0.305882352941176,NA,"#715D4EFF",0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888848","625813","11CKS020","BAt",NA,14,27,"clear","smooth",18,NA,30,18,52,30,32,"PGR-SIL","sil",NA,5.69999980926514,"none",NA,"slightly hard","friable",NA,"slightly sticky","slightly plastic",NA,"sil","11315",NA,NA,NA,NA,NA,NA,NA,NA,"5YR",5,3,"#937462FF",0.576470588235294,0.454901960784314,0.384313725490196,NA,"#937462FF",0,5,0,0,0,0,0,0,22,5,0,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888849","625813","11CKS020","Bt1",NA,27,44,"clear","wavy",28,NA,33,28,39,33,45,"PGRV-CL","cl",NA,5.19999980926514,"none",NA,"slightly hard","friable",NA,"moderately sticky","moderately plastic",NA,"cl","11316",NA,NA,NA,NA,NA,NA,NA,NA,"5YR",5,4,"#997259FF",0.6,0.447058823529412,0.349019607843137,NA,"#997259FF",0,5,0,0,0,0,0,0,40,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0
