"pedon_key","stationTriplet","Site","stateCode","Network","Name","dcoCode","countyName","HUC","Elevation_ft","Latitude","Longitude","dataTimeZone","shefId","beginDate","endDate","upedonid","pedlabsampnum","State"
"40378","1059:CO:SNTL","1059","CO","SNTL","Cochetopa Pass","CO","Saguache","130100040203",10061,38.16273,-106.5988,-8,"CZSC2","2004-09-01 00:00","2100-01-01 00:00","S2009CO109001","09N1155","Colorado"
"70965","2189:CA:SCAN","2189","CA","SCAN","Cochora Ranch","GC","San Luis Obispo","180600030102",2697,35.11807,-119.59608,-8,"CXXC1","2012-06-07 00:00","2100-01-01 00:00","S2012CA079003","13N97488","California"
"33672","958:AK:SNTL","958","AK","SNTL","Coldfoot","AK","Yukon-Koyukuk","190901010604",1040,67.25333,-150.183,-9,"COFA2","1994-10-01 00:00","2100-01-01 00:00","S2006AK002014","07N0172","Alaska"
"73386","1204:NV:SNTL","1204","NV","SNTL","Columbia Basin","UT","Elko","170501050503",6483,41.67167,-116.07033,-8,"CMBN2","2011-12-23 00:00","2100-01-01 00:00","S2014NV007031","15N0478","Nevada"
"8428","2066:PR:SCAN","2066","PR","SCAN","Combate","GC","Cabo Rojo","210100040108",33,17.98333,-67.16667,-4,"COBP4","2002-06-04 00:00","2100-01-01 00:00","D99PR023004","81P0317","Puerto Rico"
"34001","2117:MT:SCAN","2117","MT","SCAN","Conrad Ag Rc","GC","Pondera","100302030705",3706,48.30453,-111.92363,-7,"COAM8","2006-10-18 00:00","2100-01-01 00:00","S06MT073001","07N0156","Montana"
"70385","2198:WA:SCAN","2198","WA","SCAN","Cook Farm Field D","GC","Whitman","170601080203",2580,46.78373,-117.08008,-8,"COOW1","2013-07-24 00:00","2100-01-01 00:00","S2013WA075001","14N0001","Washington"
"73393","1209:NV:SNTL","1209","NV","SNTL","Corduroy Flat","UT","White Pine","160600121206",8640,38.99651,-115.42478,-8,"CORN2","2011-12-23 09:00","2100-01-01 00:00","S2014NV033002","15N0485","Nevada"
"32428","2188:PR:SCAN","2188","PR","SCAN","Corozal","GC","Corozal","210100020104",852,18.31865,-66.36281,-4,"RCLP4","2012-09-18 00:00","2100-01-01 00:00","S2004PR047001","04N0611","Puerto Rico"
"70940","1236:UT:SNTL","1236","UT","SNTL","Corral","UT","Carbon","140600070903",8207,39.65795,-110.37906,-8,"CAOU1","2013-10-01 00:00","2100-01-01 00:00","S2013UT007001","14N0331","Utah"
